Date,Price,Open,High,Low,Vol.,Change %
7/22/2026,"53,931.92","53,989.55","54,152.72","53,829.96",479.15M,-0.11%
7/21/2026,"53,989.55","53,126.01","54,064.76","53,186.02",360.46M,1.63%
7/20/2026,"53,126.01","52,560.10","53,290.46","52,589.61",391.15M,1.08%
7/19/2026,"52,560.10","52,928.06","52,993.63","52,472.31",408.56M,-0.70%
7/16/2026,"52,928.06","52,558.39","52,997.74","52,650.63",363.06M,0.70%
7/15/2026,"52,558.39","52,299.31","52,695.74","52,296.81",288.71M,0.50%
7/14/2026,"52,299.31","52,608.28","52,626.07","52,138.38",367.60M,-0.59%
7/13/2026,"52,608.28","52,256.18","52,661.80","52,264.25",361.27M,0.67%
7/12/2026,"52,256.18","52,311.51","52,519.29","52,253.71",364.83M,-0.11%
7/9/2026,"52,311.51","52,028.37","52,359.99","51,917.12",328.10M,0.54%
7/8/2026,"52,028.37","53,006.11","53,001.37","51,820.41",497.44M,-1.84%
7/7/2026,"53,006.11","52,502.74","53,214.45","52,393.71",697.77M,0.96%
7/6/2026,"52,502.74","51,130.89","52,502.74","51,132.38",429.34M,2.68%
7/5/2026,"51,130.89","50,532.70","51,171.73","50,721.83",333.43M,1.18%
7/1/2026,"50,532.70","50,487.96","50,677.68","50,389.69",344.75M,0.09%
6/30/2026,"50,487.96","49,825.58","50,703.24","49,829.32",259.72M,1.33%
6/29/2026,"49,825.58","50,344.37","50,407.72","49,670.74",186.11M,-1.03%
6/28/2026,"50,344.37","51,443.07","51,493.13","50,149.59",222.53M,-2.14%
6/25/2026,"51,443.07","51,710.90","51,912.16","51,211.31",404.83M,-0.52%
6/24/2026,"51,710.90","51,769.74","51,895.76","51,497.91",256.18M,-0.11%
6/23/2026,"51,769.74","52,585.72","52,674.70","51,769.74",433.38M,-1.55%
6/22/2026,"52,585.72","52,679.45","52,789.86","52,469.70",349.27M,-0.18%
6/21/2026,"52,679.45","52,621.84","52,859.35","52,619.29",328.63M,0.11%
6/17/2026,"52,621.84","52,047.15","52,621.84","52,094.25",360.94M,1.10%
6/16/2026,"52,047.15","52,306.66","52,283.54","51,931.05",359.49M,-0.50%
6/15/2026,"52,306.66","51,994.63","52,419.22","52,024.70",546.61M,0.60%
6/14/2026,"51,994.63","50,818.84","52,201.58","51,765.01",395.86M,2.31%
6/11/2026,"50,818.84","51,256.65","51,215.58","50,686.22",308.96M,-0.85%
6/10/2026,"51,256.65","52,374.80","52,437.19","51,229.60",452.60M,-2.13%
6/9/2026,"52,374.80","51,882.81","52,533.78","51,963.83",336.70M,0.95%
6/8/2026,"51,882.81","52,164.60","52,403.03","51,674.25",708.24M,-0.54%
6/7/2026,"52,164.60","52,652.53","52,584.69","52,057.03",521.92M,-0.93%
6/4/2026,"52,652.53","52,564.42","52,699.90","52,422.01",508.81M,0.17%
6/3/2026,"52,564.42","52,927.02","53,085.78","52,363.48",437.44M,-0.69%
6/2/2026,"52,927.02","52,853.94","53,188.43","52,830.68",499.35M,0.14%
6/1/2026,"52,853.94","52,658.75","53,201.62","52,587.57",463.75M,0.37%
5/25/2026,"52,658.75","52,861.47","53,144.48","52,584.26",386.02M,-0.38%
5/24/2026,"52,861.47","52,090.96","53,022.77","52,278.18",365.87M,1.48%
5/21/2026,"52,090.96","51,936.75","52,211.81","51,801.44",368.54M,0.30%
5/20/2026,"51,936.75","52,774.98","53,029.31","51,936.75",435.38M,-1.59%
5/19/2026,"52,774.98","52,007.00","52,888.51","52,035.25",478.59M,1.48%
5/18/2026,"52,007.00","52,364.34","52,585.58","51,885.56",564.22M,-0.68%
5/17/2026,"52,364.34","53,154.84","53,158.90","52,341.76",681.94M,-1.49%
5/14/2026,"53,154.84","53,416.17","53,542.98","52,949.72",746.78M,-0.49%
5/13/2026,"53,416.17","54,058.75","54,259.19","53,192.62",432.25M,-1.19%
5/12/2026,"54,058.75","54,475.49","54,723.06","53,821.92",471.52M,-0.77%
5/11/2026,"54,475.49","54,628.68","54,977.01","54,449.23",647.56M,-0.28%
5/10/2026,"54,628.68","53,605.08","54,628.68","53,870.61",675.82M,1.91%
